Address                  Data                      Alias
02342010               00000001                     PID
02342014               00000005                   priority
02342018               02342030                    pNext

02342030               00000002                     PID
02342034               00000003                   priority
02342038               02342050                    pNext

02342050               00000003                     PID
02342054               00000008                   priority
02342058                 NULL                      pNext
